Date,Open,High,Low,Close,Volume,Count
8/7/2013,38.61,38.94,37.7,38.87,68854764,824
8/8/2013,39.13,39.19,38.43,38.54,41300906,823
8/9/2013,38.59,38.74,38.01,38.5,43620024,822
8/12/2013,38.2,38.5,38.1,38.22,31160951,821
8/13/2013,38.24,38.32,36.77,37.02,65379198,820
8/14/2013,36.83,37.55,36.62,36.65,48423890,819
8/15/2013,36.36,37.07,36.02,36.56,56521095,818
8/16/2013,36.97,37.49,36.9,37.08,45840714,817
8/19/2013,37.43,38.28,37.14,37.81,57609591,816
8/20/2013,38.35,38.58,37.69,38.41,57995140,815
8/21/2013,38.38,38.85,38.14,38.32,46116868,814
8/22/2013,38.37,38.75,38.34,38.55,21931163,813
8/23/2013,39,40.63,38.93,40.55,86442283,812
8/26/2013,40.9,41.94,40.62,41.34,94162358,811
8/27/2013,40.68,41.2,39.42,39.64,72695050,810
8/28/2013,39.96,40.85,39.88,40.55,57918194,809
8/29/2013,40.89,41.78,40.8,41.28,58303395,808
8/30/2013,42.02,42.26,41.06,41.29,67735053,807
9/3/2013,41.84,42.16,41.51,41.87,48774896,806
9/4/2013,42.01,42.17,41.44,41.78,42581854,805
9/5/2013,41.79,42.76,41.77,42.66,50035380,804
9/6/2013,43.09,44.61,42.4,43.95,117535626,803
9/9/2013,44.36,44.79,43.7,44.04,75794696,802
9/10/2013,44.24,44.26,43.23,43.6,54540282,801
9/11/2013,43.39,45.09,43.11,45.04,71676653,800
9/12/2013,45.53,45.62,44.65,44.75,68072239,799
9/13/2013,45.04,45.08,43.93,44.31,52765299,798
9/16/2013,44.85,44.94,42.43,42.51,70807761,797
9/17/2013,42.5,45.44,42.43,45.07,91934557,796
9/18/2013,44.84,45.47,44.4,45.23,79316945,795
9/19/2013,45.51,46.05,45.23,45.98,63972369,794
9/20/2013,46.32,47.6,45.74,47.49,115508400,793
9/23/2013,47.28,47.55,46.29,47.19,75319202,792
9/24/2013,48.5,49.66,48.16,48.45,136716101,791
9/25/2013,49.23,49.54,48.46,49.46,87879619,790
9/26/2013,50.01,50.6,49.5,50.39,98220046,789
9/27/2013,50.29,51.28,49.86,51.24,81410460,788
9/30/2013,50.14,51.6,49.8,50.23,100095417,787
10/1/2013,49.97,51.03,49.45,50.42,98113699,786
10/2/2013,50.13,51.1,49.95,50.28,62834429,785
10/3/2013,50.47,50.72,49.06,49.18,82045323,784
10/4/2013,49.77,51.16,49.57,51.04,74446947,783
10/7/2013,50.73,51.29,50.4,50.52,57203957,782
10/8/2013,50.6,50.6,47.08,47.14,136081330,781
10/9/2013,47.38,47.84,45.26,46.77,147296862,780
10/10/2013,47.86,49.68,47.83,49.05,99773784,779
10/11/2013,49.18,49.87,48.79,49.11,58428451,778
10/14/2013,48.31,49.63,47.91,49.51,68780552,777
10/15/2013,49.99,51,49.18,49.5,81166571,776
10/16/2013,50.04,51.24,49.9,51.14,64678247,775
10/17/2013,51.12,52.22,50.95,52.21,71521899,774
10/18/2013,54.18,54.82,53.6,54.22,88260093,773
10/21/2013,54.68,54.81,53.51,53.85,58235283,772
10/22/2013,54.33,54.76,52.2,52.68,83203892,771
10/23/2013,51.75,52.25,51.13,51.9,57207154,770
10/24/2013,52.38,52.84,51.59,52.44,46775185,769
10/25/2013,53.18,53.24,51.88,51.95,45085348,768
10/28/2013,51.54,51.7,49.61,50.23,73472347,767
10/29/2013,50.73,50.79,49.25,49.4,102143469,766
10/30/2013,50,50.21,48.75,49.01,127072652,765
